ProbeID,PrimaryAccession,RefSeqAccession,GenbankAccession,UniGeneID,EntrezGeneID,GeneSymbol,GeneName,EnsemblID,TIGRID,GO,Description,GenomicCoordinates,Cytoband
A_01_P005182,XM_015153010,XM_015153010,XM_015153010,,700940,HPD,4-hydroxyphenylpyruvate dioxygenase,,,,"PREDICTED: Macaca mulatta 4-hydroxyphenylpyruvate dioxygenase (HPD), mRNA [XM_015153010]",chr11:122925860-122925801,
A_01_P016670,ENSMMUT00000093463.1,XM_015135712,XM_015135712,,719411,SLC17A2,solute carrier family 17 member 2,ENSMMUT00000093463.1,,,solute carrier family 17 member 2 [Source:VGNC Symbol;Acc:VGNC:77402] [ENSMMUT00000093463.1],chr4:25907717-25907658,
A_01_P019388,JV452867,XM_015137867,JV452867,Mmu.1578,,,,,,,TSA: Macaca mulatta Mamu_79178 mRNA sequence. [JV452867],chr1:1468640-1468581,
A_01_P017621,NM_001171176,NM_001171176,NM_001171176,Mmu.17674,703484,UBAC2,UBA domain containing 2,ENSMMUT00000103944.1,,,"Macaca mulatta UBA domain containing 2 (UBAC2), mRNA [NM_001171176]",chr17:79759504-79759563,
A_01_P005318,ENSMMUT00000027931.4,XM_028853010,JV514333,Mmu.20086,694367,ADGRB1,adhesion G protein-coupled receptor B1,ENSMMUT00000027931.4,,,adhesion G protein-coupled receptor B1 [Source:VGNC Symbol;Acc:VGNC:69597] [ENSMMUT00000027931.4],chr8:145074757-145074816,
A_01_P012843,NM_001265840,NM_001265840,NM_001265840,Mmu.21785,720291,FCER1G,Fc epsilon receptor Ig,,,,"Macaca mulatta Fc epsilon receptor Ig (FCER1G), mRNA [NM_001265840]",chr1:139829502-139829561,
A_01_P001186,NM_001265841,NM_001265841,NM_001265841,Mmu.30808,721828,PARP11,poly(ADP-ribose) polymerase family member 11,ENSMMUT00000080695.1,,,"Macaca mulatta poly(ADP-ribose) polymerase family member 11 (PARP11), mRNA [NM_001265841]",chr11:3929205-3929146,
A_01_P010645,ENSMMUT00000039237.3,XM_028840710,JV044485,Mmu.25118,,,,ENSMMUT00000039237.3,,,TSA: Macaca mulatta Mamu_417208 mRNA sequence. [JV044485],chr20:72327611-72327552,
A_01_P005070,ENSMMUT00000091309.1,,JV492039,Mmu.20354,713877,N4BP2L2,NEDD4 binding protein 2 like 2,ENSMMUT00000091309.1,,,NEDD4 binding protein 2 like 2 [Source:VGNC Symbol;Acc:VGNC:75031] [ENSMMUT00000091309.1],chr17:11886567-11886508,
A_01_P019911,ENSMMUT00000096698.1,XM_028842703,JU335500,Mmu.27530,714737,LOC714737,PH and SEC7 domain-containing protein 1,ENSMMUT00000096698.1,,,pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507] [ENSMMUT00000096698.1],chr9:102060176-102060117,
A_01_P011159,ENSMMUT00000007130.4,XM_015116291,JV599028,Mmu.32751,721617,ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2,ENSMMUT00000007130.4,,,ectonucleoside triphosphate diphosphohydrolase 2 [Source:VGNC Symbol;Acc:VGNC:72225] [ENSMMUT00000007130.4],chr15:1210023-1210082,
A_01_P015375,,,,,,,,,,,,chr10:081611496-081611555,
A_01_P010203,ENSMMUT00000031229.4,XM_015130774,JV669876,Mmu.20392,699294,PARP3,poly(ADP-ribose) polymerase family member 3,ENSMMUT00000031229.4,,,poly(ADP-ribose) polymerase family member 3 [Source:VGNC Symbol;Acc:VGNC:84055] [ENSMMUT00000031229.4],chr2:84449914-84449855,
A_01_P007307,NM_001195137,NM_001195137,NM_001195137,Mmu.18678,718319,APOC4,apolipoprotein C4,ENSMMUT00000085192.1,,,"Macaca mulatta apolipoprotein C4 (APOC4), mRNA [NM_001195137]",,
A_01_P012460,ENSMMUT00000020540.4,XM_015140087,JV452456,Mmu.2798,708322,GPBP1,GC-rich promoter binding protein 1,ENSMMUT00000020540.4,,,GC-rich promoter binding protein 1 [Source:VGNC Symbol;Acc:VGNC:73033] [ENSMMUT00000020540.4],chr6:54927112-54927171,
A_01_P014312,ENSMMUT00000019456.4,XM_028841497,JV494041,Mmu.24784,704910,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",ENSMMUT00000019456.4,,,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:VGNC Symbol;Acc:VGNC:69434] [ENSMMUT00000019456.4]",chr1:4362809-4362485,
A_01_P002219,ENSMMUT00000070231.2,XM_028851475,JV516604,Mmu.27922,717281,NPAS3,neuronal PAS domain protein 3,ENSMMUT00000070231.2,,,neuronal PAS domain protein 3 [Source:VGNC Symbol;Acc:VGNC:75213] [ENSMMUT00000070231.2],chr7:96745405-96745464,
A_01_P009534,NM_001260719,NM_001260719,NM_001260719,Mmu.20711,721228,PITPNA,phosphatidylinositol transfer protein alpha,,,,"Macaca mulatta phosphatidylinositol transfer protein alpha (PITPNA), mRNA [NM_001260719]",chr16:1314772-1314713,
A_01_P020151,ENSMMUT00000033003.4,XM_015149114,JV584206,Mmu.4683,704736,ERGIC3,ERGIC and golgi 3,ENSMMUT00000033003.4,,,ERGIC and golgi 3 [Source:VGNC Symbol;Acc:VGNC:72274] [ENSMMUT00000033003.4],chr10:28982331-28982272,
A_01_P018493,JV058012,,JV058012,Mmu.12547,,,,,,,TSA: Macaca mulatta Mamu_432450 mRNA sequence. [JV058012],chr3:44203708-44203649,
A_01_P014864,XM_001086798,XM_001086798,XM_001086798,Mmu.20838,698274,MAP3K20,mitogen-activated protein kinase kinase kinase 20,,,,"PREDICTED: Macaca mulatta mitogen-activated protein kinase kinase kinase 20 (MAP3K20), transcript variant X1, mRNA [XM_001086798]",chr12:36896225-36896284,
A_01_P012933,JV718595,,JV718595,Mmu.21253,,,,,,,TSA: Macaca mulatta Mamu_552892 mRNA sequence. [JV718595],chr1:144901107-144901166,
A_01_P011489,JU348647,XM_028849307,JU348647,Mmu.30451,,,,,,,TSA: Macaca mulatta Mamu_519728 mRNA sequence. [JU348647],chrUr:310026-310085,
A_01_P015481,XM_001083260,XM_001083260,XM_001083260,Mmu.21499,694455,RBM11,RNA binding motif protein 11,,,,"PREDICTED: Macaca mulatta RNA binding motif protein 11 (RBM11), mRNA [XM_001083260]",chr3:32672514-32672455,
A_01_P020131,,,,,,,,,,,,chr8:049629178-049629119,
A_01_P003886,,,,,,,,,,,,chr15:077078207-077078266,
A_01_P007386,NM_001193550,NM_001193550,NM_001193550,Mmu.2622,709326,H2AZ1,H2A.Z variant histone 1,ENSMMUT00000061829.2,,,"Macaca mulatta H2A.Z variant histone 1 (H2AZ1), mRNA [NM_001193550]",chr5:92906352-92906293,
A_01_P008147,,,,,,,,,,,,chr11:097496308-097496249,
A_01_P000783,NM_001194572,NM_001194572,NM_001194572,Mmu.18725,713563,PYCARD,PYD and CARD domain containing,ENSMMUT00000103023.1,,,"Macaca mulatta PYD and CARD domain containing (PYCARD), mRNA [NM_001194572]",chr20:29300464-29300405,
A_01_P020210,ENSMMUT00000020135.4,XM_015124105,JV620836,Mmu.20109,705086,DMAC2,distal membrane arm assembly complex 2,ENSMMUT00000020135.4,,,,chr19:47829128-47829069,
A_01_P001819,ENSMMUT00000095674.1,XM_015139188,JV679219,Mmu.28885,713336,MFSD8,major facilitator superfamily domain containing 8,ENSMMUT00000095674.1,,,major facilitator superfamily domain containing 8 [Source:VGNC Symbol;Acc:VGNC:74604] [ENSMMUT00000095674.1],chr5:120231250-120231191,
A_01_P012540,ENSMMUT00000092754.1,XM_001105786,JV480783,Mmu.2695,706855,WARS1,tryptophanyl-tRNA synthetase 1,ENSMMUT00000092754.1,,,tryptophanyl-tRNA synthetase 1 [Source:VGNC Symbol;Acc:VGNC:78779] [ENSMMUT00000092754.1],chr7:163614282-163614223,
A_01_P005115,ENSMMUT00000062718.2,XM_015126265,JU322116,Mmu.25166,705951,KIFC3,kinesin family member C3,ENSMMUT00000062718.2,,,kinesin family member C3 [Source:VGNC Symbol;Acc:VGNC:74022] [ENSMMUT00000062718.2],chr20:56112634-56112575,
A_01_P011906,ENSMMUT00000076138.2,XM_028827876,JV672982,Mmu.23542,717414,EMID1,EMI domain containing 1,ENSMMUT00000076138.2,,,EMI domain containing 1 [Source:VGNC Symbol;Acc:VGNC:72063] [ENSMMUT00000076138.2],chr10:73086135-73086194,
A_01_P016548,ENSMMUT00000102331.1,,JU484288,Mmu.18346,713463,GIMAP2,"GTPase, IMAP family member 2",ENSMMUT00000102331.1,,,"GTPase, IMAP family member 2 [Source:VGNC Symbol;Acc:VGNC:72980] [ENSMMUT00000102331.1]",chr3:187622236-187622295,
A_01_P000583,JV597323,,JV597323,Mmu.17220,,,,,,,TSA: Macaca mulatta Mamu_283141 mRNA sequence. [JV597323],,
A_01_P008479,ENSMMUT00000010685.4,XM_028834145,JV470221,Mmu.26415,714039,CDON,"cell adhesion associated, oncogene regulated",ENSMMUT00000010685.4,,,"cell adhesion associated, onco regulated [Source:VGNC Symbol;Acc:VGNC:70961] [ENSMMUT00000010685.4]",chr14:124104005-124103946,
A_01_P013942,NM_001194772,NM_001194772,NM_001194772,Mmu.18920,100428778,HOXD12,homeobox D12,ENSMMUT00000045086.3,,,"Macaca mulatta homeobox D12 (HOXD12), mRNA [NM_001194772]",chr12:39741645-39741704,
A_01_P003478,XR_001439119,XR_001439119,XR_001439119,,106992969,LOC106992969,chromobox protein homolog 3 pseudogene,,,,"PREDICTED: Macaca mulatta chromobox protein homolog 3 pseudogene (LOC106992969), misc_RNA [XR_001439119]",chr13:61309823-61309882,
A_01_P010955,ENSMMUT00000101763.1,XM_015125654,XM_015125654,,717517,LOC717517,group 10 secretory phospholipase A2,ENSMMUT00000101763.1,,,phospholipase A2 group X [Source:HGNC Symbol;Acc:HGNC:9029] [ENSMMUT00000101763.1],chr20:14802106-14802047,
A_01_P019668,ENSMMUT00000083644.1,,JU477060,Mmu.21585,695725,UCK2,uridine-cytidine kinase 2,ENSMMUT00000083644.1,,,uridine-cytidine kinase 2 [Source:VGNC Symbol;Acc:VGNC:78718] [ENSMMUT00000083644.1],chr1:195756191-195756250,
A_01_P002840,ENSMMUT00000008590.4,XM_015140291,JV637777,Mmu.28245,705967,POC5,POC5 centriolar protein,ENSMMUT00000008590.4,,,POC5 centriolar protein [Source:VGNC Symbol;Acc:VGNC:76119] [ENSMMUT00000008590.4],chr6:71873970-71873911,
A_01_P015668,ENSMMUT00000021576.4,XM_001086432,XM_001086432,,,,,ENSMMUT00000021576.4,,,SPANX family member N2 [Source:HGNC Symbol;Acc:HGNC:33175] [ENSMMUT00000021576.4],chrX:141794947-141794888,
A_01_P003746,JV703313,,JV703313,Mmu.4463,,,,,,,TSA: Macaca mulatta Mamu_543115 mRNA sequence. [JV703313],chr6:70821162-70821103,
A_01_P004223,JV706606,XM_015152493,JV706606,Mmu.22416,,,,,,,TSA: Macaca mulatta Mamu_564293 mRNA sequence. [JV706606],chr11:98170913-98170972,
A_01_P014973,ENSMMUT00000074517.2,XM_028827765,JU494788,Mmu.32875,718329,TMEM79,transmembrane protein 79,ENSMMUT00000074517.2,,,transmembrane protein 79 [Source:VGNC Symbol;Acc:VGNC:106521] [ENSMMUT00000074517.2],chr1:134897964-134898023,
A_01_P012335,ENSMMUT00000070119.2,XM_015119312,JV490678,Mmu.18419,705396,LRRC59,leucine rich repeat containing 59,ENSMMUT00000070119.2,,,leucine rich repeat containing 59 [Source:VGNC Symbol;Acc:VGNC:81436] [ENSMMUT00000070119.2],chr16:34628577-34628518,
A_01_P008245,NM_001265976,NM_001265976,NM_001265976,Mmu.32691,702126,KCNA2,potassium voltage-gated channel subfamily A member 2,ENSMMUT00000026262.3,,,"Macaca mulatta potassium voltage-gated channel subfamily A member 2 (KCNA2), mRNA [NM_001265976]",chr1:113664320-113664261,
A_01_P014396,ENSMMUT00000070357.2,XM_015138942,JV464091,Mmu.24611,709535,CYP4X1,cytochrome P450 family 4 subfamily X member 1,ENSMMUT00000070357.2,,,cytochrome P450 family 4 subfamily X member 1 [Source:VGNC Symbol;Acc:VGNC:103614] [ENSMMUT00000070357.2],chr1:49809451-49809392,
A_01_P007552,ENSMMUT00000008679.3,XM_015133336,JV660566,Mmu.2847,693429,EIF4H,eukaryotic translation initiation factor 4H,ENSMMUT00000008679.3,,,eukaryotic translation initiation factor 4H [Source:VGNC Symbol;Acc:VGNC:103811] [ENSMMUT00000008679.3],chr3:51643833-51643892,
A_01_P013000,ENSMMUT00000019375.4,XM_015113990,JU343438,Mmu.4857,722343,FADS1,fatty acid desaturase 1,ENSMMUT00000019375.4,,,fatty acid desaturase 1 [Source:VGNC Symbol;Acc:VGNC:72471] [ENSMMUT00000019375.4],chr14:12282507-12282566,
A_01_P008210,ENSMMUT00000081037.1,XM_001100101,JV563756,Mmu.26807,702365,BABAM2,BRISC and BRCA1 A complex member 2,ENSMMUT00000081037.1,,,BRISC and BRCA1 A complex member 2 [Source:VGNC Symbol;Acc:VGNC:70048] [ENSMMUT00000081037.1],chr13:28335308-28335367,
A_01_P015697,,,,,,,,,,,,,
A_01_P000906,JU323473,XM_015118638,JU323473,Mmu.26122,693912,CDRT4,CMT1A duplicated region transcript 4,,,,TSA: Macaca mulatta Mamu_505171 mRNA sequence. [JU323473],chr16:15155258-15155199,
A_01_P006510,ENSMMUT00000074040.2,XM_028852776,XM_028852776,,698886,CDH17,cadherin 17,ENSMMUT00000074040.2,,,cadherin 17 [Source:VGNC Symbol;Acc:VGNC:70810] [ENSMMUT00000074040.2],chr8:96710874-96710815,
A_01_P000094,NM_001265638,NM_001265638,NM_001265638,Mmu.32286,708624,USP13,ubiquitin specific peptidase 13,ENSMMUT00000005086.4,,,"Macaca mulatta ubiquitin specific peptidase 13 (USP13), mRNA [NM_001265638]",chr2:106989691-106989632,
A_01_P009670,ENSMMUT00000000422.4,,,,574138,CCL2,C-C motif chemokine ligand 2,ENSMMUT00000000422.4,,,C-C motif chemokine ligand 2 [Source:VGNC Symbol;Acc:VGNC:70698] [ENSMMUT00000000422.4],chr16:29553111-29553170,
A_01_P014302,NM_001257511,NM_001257511,NM_001257511,Mmu.4158,695051,EIF3D,eukaryotic translation initiation factor 3 subunit D,ENSMMUT00000044032.3,,,"Macaca mulatta eukaryotic translation initiation factor 3 subunit D (EIF3D), mRNA [NM_001257511]",chr10:80422602-80422543,
A_01_P005707,ENSMMUT00000094493.1,XM_028849855,JU492124,Mmu.3972,712388,SPARC,secreted protein acidic and cysteine rich,ENSMMUT00000094493.1,,,secreted protein acidic and cysteine rich [Source:VGNC Symbol;Acc:VGNC:77854] [ENSMMUT00000094493.1],chr6:148097066-148097007,
A_01_P008833,NM_001265911,NM_001265911,NM_001265911,Mmu.32850,715176,CHST1,carbohydrate sulfotransferase 1,ENSMMUT00000001246.3,,,"Macaca mulatta carbohydrate sulfotransferase 1 (CHST1), mRNA [NM_001265911]",chr14:26478971-26479030,
A_01_P006671,ENSMMUT00000092226.1,XM_015129715,JV684619,Mmu.4653,,,,ENSMMUT00000092226.1,,,TSA: Macaca mulatta Mamu_331738 mRNA sequence. [JV684619],chr1:22277495-22277554,
A_01_P017486,,,,,,,,,,,,,
A_01_P015702,NM_001190957,NM_001190957,NM_001190957,Mmu.18283,719561,CFAP46,cilia and flagella associated protein 46,ENSMMUT00000106972.1,,,"Macaca mulatta cilia and flagella associated protein 46 (CFAP46), mRNA [NM_001190957]",chr9:132470628-132470569,
A_01_P010453,ENSMMUT00000103264.1,XM_001109843,XM_001109843,,712843,LOC712843,olfactory receptor 13C9,ENSMMUT00000103264.1,,,olfactory receptor family 13 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:15104] [ENSMMUT00000103264.1],chr15:31621506-31621565,
A_01_P014181,ENSMMUT00000004902.4,XM_028848543,XM_028848543,,,,,ENSMMUT00000004902.4,,,UDP glucuronosyltransferase family 2 member B7 [Source:HGNC Symbol;Acc:HGNC:12554] [ENSMMUT00000004902.4],chr5:60751903-60751962,
A_01_P002398,XM_001085922,XM_028837792,XM_001085922,Mmu.25775,696856,KATNAL2,katanin catalytic subunit A1 like 2,,,,"PREDICTED: Macaca mulatta katanin p60 subunit A-like 2 (KATNAL2), mRNA [XM_001085922]",chr18:40132890-40132949,
A_01_P002181,XM_001106270,XM_015139927,XM_001106270,Mmu.24594,715856,PODN,podocan,,,,"PREDICTED: Macaca mulatta podocan-like (LOC715856), mRNA [XM_001106270]",chr1:55966034-55966093,
A_01_P000174,NM_001260778,NM_001260778,NM_001260778,Mmu.20596,712784,SORD,sorbitol dehydrogenase,ENSMMUT00000022458.4,,,"Macaca mulatta sorbitol dehydrogenase (SORD), mRNA [NM_001260778]",chr7:23426086-23426145,
A_01_P018434,ENSMMUT00000046451.3,XM_015117457,JU494835,Mmu.21597,694043,RECK,reversion inducing cysteine rich protein with kazal motifs,ENSMMUT00000046451.3,,,reversion inducing cysteine rich protein with kazal motifs [Source:VGNC Symbol;Acc:VGNC:76722] [ENSMMUT00000046451.3],chr15:41345935-41345876,
A_01_P019386,ENSMMUT00000072892.2,,,,723011,ZNF354A,zinc finger protein 354A,ENSMMUT00000072892.2,,,zinc finger protein 354A [Source:VGNC Symbol;Acc:VGNC:84517] [ENSMMUT00000072892.2],,
A_01_P018542,ENSMMUT00000007266.4,XM_015130169,JV658612,Mmu.29818,702356,RBSN,"rabenosyn, RAB effector",ENSMMUT00000007266.4,,,"rabenosyn, RAB effector [Source:VGNC Symbol;Acc:VGNC:76784] [ENSMMUT00000007266.4]",chr11:84760589-84760530,
A_01_P009466,ENSMMUT00000016637.4,XM_015149629,JV526467,Mmu.27358,,,,ENSMMUT00000016637.4,,,glycogen phosphorylase B [Source:VGNC Symbol;Acc:VGNC:76631] [ENSMMUT00000016637.4],chr10:58421615-58421674,
A_01_P011066,XM_001097996,XM_001097996,XM_001097996,,708917,ACMSD,aminocarboxymuconate semialdehyde decarboxylase,,,,"PREDICTED: Macaca mulatta aminocarboxymuconate semialdehyde decarboxylase (ACMSD), transcript variant X2, mRNA [XM_001097996]",chr13:117271152-117271093,
A_01_P014006,ENSMMUT00000020532.4,XM_015137316,JV645273,Mmu.303,716178,NT5DC1,5'-nucleotidase domain containing 1,ENSMMUT00000020532.4,,,5'-nucleotidase domain containing 1 [Source:VGNC Symbol;Acc:VGNC:81189] [ENSMMUT00000020532.4],chr4:147685128-147685069,
A_01_P011924,ENSMMUT00000098087.1,,JU486401,Mmu.25406,695533,LOC695533,leukocyte-associated immunoglobulin-like receptor 1,ENSMMUT00000098087.1,,,leukocyte associated immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:6477] [ENSMMUT00000098087.1],chr19:60501959-60501900,
A_01_P019719,ENSMMUT00000030981.3,XM_015139410,JV674175,Mmu.22012,699868,CTSO,cathepsin O,ENSMMUT00000030981.3,,,cathepsin O [Source:VGNC Symbol;Acc:VGNC:71561] [ENSMMUT00000030981.3],chr5:148112220-148112161,
A_01_P003485,XM_001088743,XM_001088743,XM_001088743,Mmu.20800,697490,MTMR9,myotubularin related protein 9,,,,"PREDICTED: Macaca mulatta myotubularin related protein 9 (MTMR9), transcript variant X1, mRNA [XM_001088743]",chr8:9414956-9414928,
A_01_P012255,,,,,,,,,,,,,
A_01_P011740,XM_028833049,XM_028833049,XM_028833049,,704534,INS,insulin,,,,"PREDICTED: Macaca mulatta insulin (INS), mRNA [XM_028833049]",chr14:2168892-2168833,
A_01_P019432,ENSMMUT00000000260.4,XM_028840110,XM_002801161,Mmu.29439,,,,ENSMMUT00000000260.4,,,zinc finger protein 43 [Source:HGNC Symbol;Acc:HGNC:13109] [ENSMMUT00000000260.4],chr19:21014672-21014613,
A_01_P004972,ENSMMUT00000095555.1,,JV692068,Mmu.1094,696962,RAB1A,"RAB1A, member RAS oncogene family",ENSMMUT00000095555.1,,,"RAB1A, member RAS onco family [Source:VGNC Symbol;Acc:VGNC:106204] [ENSMMUT00000095555.1]",chr13:65305636-65305577,
A_01_P003390,NM_001190889,NM_001190889,NM_001190889,Mmu.18274,721870,PPP1R26,protein phosphatase 1 regulatory subunit 26,,,,"Macaca mulatta protein phosphatase 1 regulatory subunit 26 (PPP1R26), mRNA [NM_001190889]",chr15:2818230-2818171,
A_01_P010292,ENSMMUT00000001032.4,XM_015124267,JU479140,Mmu.21103,714389,PPP1R13L,protein phosphatase 1 regulatory subunit 13 like,ENSMMUT00000001032.4,,,protein phosphatase 1 regulatory subunit 13 like [Source:HGNC Symbol;Acc:HGNC:18838] [ENSMMUT00000001032.4],chr19:51812708-51812649,
A_01_P005542,XM_028842500,XM_028842500,XM_028842500,,100424151,F8,coagulation factor VIII,,,,"PREDICTED: Macaca mulatta coagulation factor VIII (F8), transcript variant X4, mRNA [XM_028842500]",chrX:152856417-152856358,
A_01_P006388,ENSMMUT00000017622.4,XM_015136304,JV690946,Mmu.23773,719621,LRFN2,leucine rich repeat and fibronectin type III domain containing 2,ENSMMUT00000017622.4,,,leucine rich repeat and fibronectin type III domain containing 2 [Source:VGNC Symbol;Acc:VGNC:74328] [ENSMMUT00000017622.4],chr4:40217581-40217522,
A_01_P018701,ENSMMUT00000063343.2,XM_028830655,JV570607,Mmu.26666,,,,ENSMMUT00000063343.2,,,LY6/PLAUR domain containing 1 [Source:VGNC Symbol;Acc:VGNC:104542] [ENSMMUT00000095005.1],chr13:119460583-119460642,
A_01_P007856,,,,,,,,,,,,chr13:068812040-068812099,
A_01_P016805,ENSMMUT00000020219.4,XM_015118956,JV465938,Mmu.23055,716944,GIT1,GIT ArfGAP 1,ENSMMUT00000020219.4,,,GIT ArfGAP 1 [Source:VGNC Symbol;Acc:VGNC:73053] [ENSMMUT00000020219.4],chr16:24806425-24806366,
A_01_P015990,ENSMMUT00000012829.4,XM_028835935,XM_001117783,Mmu.26160,721596,INCA1,"inhibitor of CDK, cyclin A1 interacting protein 1",ENSMMUT00000012829.4,,,"inhibitor of CDK, cyclin A1 interacting protein 1 [Source:VGNC Symbol;Acc:VGNC:73691] [ENSMMUT00000012829.4]",chr16:4790403-4790344,
A_01_P014600,JV610083,XM_015122025,JV610083,Mmu.23189,,,,,,,TSA: Macaca mulatta Mamu_226260 mRNA sequence. [JV610083],chr1:186722481-186722539,
A_01_P013770,XM_001082602,XM_028830331,XM_001082602,Mmu.26985,693390,P2RX2,purinergic receptor P2X 2,,,,"PREDICTED: Macaca mulatta purinergic receptor P2X, ligand-gated ion channel, 2, transcript variant 6 (P2RX2), mRNA [XM_001082602]",chr11:133934293-133934352,
A_01_P019494,XM_028841955,XM_028841955,XM_028841955,,114674721,H2BW2C,H2B.W histone 2C,,,,"PREDICTED: Macaca mulatta histone H2B type F-M-like (LOC114674721), mRNA [XM_028841955]",chrX:102649713-102649772,
A_01_P014456,,,,,,,,,,,,chrX:152027815-152027756,
A_01_P004552,JV470585,XM_015119576,JV470585,Mmu.26025,,,,,,,TSA: Macaca mulatta Mamu_60834 mRNA sequence. [JV470585],chr16:50307610-50307669,
A_01_P005755,JV641014,XM_028851734,JV641014,Mmu.12552,,,,,,,TSA: Macaca mulatta Mamu_458268 mRNA sequence. [JV641014],chr7:152357557-152357498,
A_01_P009560,JU327467,XM_001102253,JU327467,Mmu.20207,706853,PYGL,glycogen phosphorylase L,,,,TSA: Macaca mulatta Mamu_527362 mRNA sequence. [JU327467],chr7:113954634-113954575,
A_01_P012303,,,,,,,,,,,,chr2:057919447-057919506,
A_01_P019752,XM_015131118,XM_015131118,XM_015131118,,712209,MYL3,myosin light chain 3,,,,"PREDICTED: Macaca mulatta myosin light chain 3 (MYL3), transcript variant X1, mRNA [XM_015131118]",chr2:89682365-89682424,
A_01_P001545,,,,,,,,,,,,chr4:029480165-029480106,
A_01_P018904,ENSMMUT00000092672.1,XM_015117489,JU496936,Mmu.29622,100427076,CD72,CD72 molecule,ENSMMUT00000092672.1,,,CD72 molecule [Source:VGNC Symbol;Acc:VGNC:70778] [ENSMMUT00000092672.1],chr15:41913708-41913767,
A_01_P011960,ENSMMUT00000071486.2,XM_001116693,JV569330,Mmu.24470,718562,NES,nestin,ENSMMUT00000071486.2,,,nestin [Source:VGNC Symbol;Acc:VGNC:75315] [ENSMMUT00000071486.2],chr1:135277778-135277719,
A_01_P016432,JV617773,XM_028843997,JV617773,Mmu.1497,,,,,,,TSA: Macaca mulatta Mamu_204337 mRNA sequence. [JV617773],chr2:93923773-93923714,
A_01_P005555,ENSMMUT00000101331.1,XM_001088634,JV460683,Mmu.27899,697252,ATG14,autophagy related 14,ENSMMUT00000101331.1,,,autophagy related 14 [Source:VGNC Symbol;Acc:VGNC:107996] [ENSMMUT00000101331.1],chr7:118390434-118390375,
A_01_P016436,NM_001261524,NM_001261524,NM_001261524,Mmu.1924,716682,ATP1B3,ATPase Na+/K+ transporting subunit beta 3,ENSMMUT00000110115.1,,,"Macaca mulatta ATPase Na+/K+ transporting subunit beta 3 (ATP1B3), mRNA [NM_001261524]",chr2:145924164-145924105,
A_01_P002892,ENSMMUT00000009444.4,XM_028853471,JV613473,Mmu.31411,711924,POLL,DNA polymerase lambda,ENSMMUT00000009444.4,,,DNA polymerase lambda [Source:VGNC Symbol;Acc:VGNC:76209] [ENSMMUT00000009444.4],chr9:101203351-101203339,
A_01_P011109,ENSMMUT00000102249.1,XM_015146128,JV461608,Mmu.27673,708584,ZC3H3,zinc finger CCCH-type containing 3,ENSMMUT00000102249.1,,,zinc finger CCCH-type containing 3 [Source:VGNC Symbol;Acc:VGNC:104507] [ENSMMUT00000102249.1],chr8:146094593-146094534,
A_01_P015430,XM_015151770,XM_015151770,XM_015151770,,696211,ANKRD33,ankyrin repeat domain 33,,,,"PREDICTED: Macaca mulatta ankyrin repeat domain 33 (ANKRD33), mRNA [XM_015151770]",chr11:49018134-49018193,
A_01_P008538,ENSMMUT00000033438.4,XM_001112069,JV076695,Mmu.23089,711081,MRPL19,mitochondrial ribosomal protein L19,ENSMMUT00000033438.4,,,mitochondrial ribosomal protein L19 [Source:VGNC Symbol;Acc:VGNC:74743] [ENSMMUT00000033438.4],chr13:75958206-75958265,
A_01_P018734,XM_001102073,,XM_001102073,Mmu.28006,704015,PPCDC,phosphopantothenoylcysteine decarboxylase,,,,"PREDICTED: Macaca mulatta phosphopantothenoylcysteine decarboxylase, transcript variant 2 (PPCDC), mRNA [XM_001102073]",chr7:53866039-53866098,
A_01_P004956,NM_001265687,NM_001265687,NM_001265687,Mmu.546,574272,MAP1B,microtubule associated protein 1B,ENSMMUT00000025160.4,,,"Macaca mulatta microtubule associated protein 1B (MAP1B), mRNA [NM_001265687]",chr6:68357072-68357131,
A_01_P003473,NM_001261038,NM_001261038,NM_001261038,Mmu.2229,708710,RBBP4,"RB binding protein 4, chromatin remodeling factor",ENSMMUT00000068779.2,,,"Macaca mulatta RB binding protein 4, chromatin remodeling factor (RBBP4), mRNA [NM_001261038]",chr1:35455104-35455163,
A_01_P017426,ENSMMUT00000007957.4,XM_028852778,JU483963,Mmu.27730,699516,RAD54B,RAD54 homolog B,ENSMMUT00000007957.4,,,RAD54 homolog B [Source:VGNC Symbol;Acc:VGNC:99473] [ENSMMUT00000007957.4],chr8:96952481-96952422,
A_01_P011712,ENSMMUT00000054194.2,XM_028845287,XM_028845287,,722191,ICOSLG,inducible T cell costimulator ligand,ENSMMUT00000054194.2,,,inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087] [ENSMMUT00000054194.2],chr3:2485835-2485894,
A_01_P006060,XM_015146090,XM_015146090,XM_015146090,,100427616,MROH5,maestro heat like repeat family member 5,,,,"PREDICTED: Macaca mulatta maestro heat like repeat family member 5 (MROH5), transcript variant X1, mRNA [XM_015146090]",chr8:143941436-143941377,
